1_Mục_đích_sd_srm,4_Sd_khi_nào,5_Mua_ở_đâu,6_Quảng_cáo_ở_đâu,91_Thích_hương_trái_cây?,92_Thích_hương_rau_củ?,93_Thích_hương_hoa_cỏ?,15_Xuất_xứ,16_Mua_online_ở_đâu,17_Mua_offline_ở_đâu,20_Lo_ngại_về_srm
"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Giúp loại bỏ lớp trang điểm","Sau khi thức dậy, Sau khi về nhà","Các sàn thương mại điện tử, Các cửa hàng mỹ phẩm","Truyền thông; quảng cáo, Tự tìm hiểu, Bạn bè",,,,"Mỹ, Hàn Quốc","Website của hãng, Sàn thương mại điện tử","Cửa hàng chính hãng, Siêu thị, Các cửa hàng mỹ phẩm","Hàng giả; hàng nhái, Tác dụng phụ; gây kích ứng; bong tróc da"
"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Giúp loại bỏ lớp trang điểm, Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...","Sau khi thức dậy, Sau khi về nhà","Các sàn thương mại điện tử, Website của hãng, Cửa hàng của hãng","Gia đình; người thân, Tự tìm hiểu, Bạn bè",,,,"Nhật Bản, Hàn Quốc, Úc",Sàn thương mại điện tử,Các cửa hàng mỹ phẩm,"Hàng giả; hàng nhái, Sản phẩm không có nguồn gốc rõ ràng"
"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Giúp loại bỏ lớp trang điểm, Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...","Sau khi thức dậy, Sau khi về nhà, Trước khi đi ngủ","Các sàn thương mại điện tử, Các cửa hàng mỹ phẩm, Tạp hóa","Truyền thông; quảng cáo, Gia đình; người thân, Bạn bè","Cam, Chanh","Thảo mộc, Nha đam, Rau má","Trà xanh, Hoa sứ, Hoa cúc","Mỹ, Nhật Bản, Pháp",Sàn thương mại điện tử,Các cửa hàng mỹ phẩm,"Hàng giả; hàng nhái, Tác dụng phụ; gây kích ứng; bong tróc da"
"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Giúp loại bỏ lớp trang điểm, Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...","Sau khi thức dậy, Trước khi đi ngủ","Các sàn thương mại điện tử, Các cửa hàng mỹ phẩm, Siêu thị; trung tâm thương mại","Truyền thông; quảng cáo, Tự tìm hiểu",,,,Mỹ,"Website của hãng, Sàn thương mại điện tử","Cửa hàng chính hãng, Siêu thị, Các cửa hàng mỹ phẩm","Hàng giả; hàng nhái, Sản phẩm không có nguồn gốc rõ ràng"
"Hỗ trợ da hấp thu dưỡng chất cho những bước dưỡng sau, Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Giúp loại bỏ lớp trang điểm","Sau khi thức dậy, Trước khi đi ngủ","Các sàn thương mại điện tử, Cửa hàng của hãng, Các cửa hàng mỹ phẩm","Truyền thông; quảng cáo, Tự tìm hiểu",,,,"Mỹ, Hàn Quốc, Pháp","Website của hãng, Sàn thương mại điện tử","Cửa hàng chính hãng, Các cửa hàng mỹ phẩm","Hàng giả; hàng nhái, Tác dụng phụ; gây kích ứng; bong tróc da"
"Hỗ trợ da hấp thu dưỡng chất cho những bước dưỡng sau, Loại bỏ bụi bẩn; dầu thừa; tế bào chết;...",Trước khi đi ngủ,"Các sàn thương mại điện tử, Website của hãng, Các cửa hàng mỹ phẩm","Truyền thông; quảng cáo, Tự tìm hiểu, Bạn bè",,,,"Nhật Bản, Hàn Quốc","Website của hãng, Sàn thương mại điện tử",Các cửa hàng mỹ phẩm,"Hàng giả; hàng nhái, Sản phẩm không có nguồn gốc rõ ràng"
"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Giúp loại bỏ lớp trang điểm","Sau khi thức dậy, Trước khi đi ngủ","Các sàn thương mại điện tử, Siêu thị; trung tâm thương mại, Cửa hàng tiện lợi","Truyền thông; quảng cáo, Tự tìm hiểu, Bạn bè",,,,"Mỹ, Pháp, Việt Nam",Website của hãng,"Cửa hàng chính hãng, Siêu thị, Tạp hoá, Các cửa hàng mỹ phẩm","Hàng giả; hàng nhái, Sản phẩm không có nguồn gốc rõ ràng"
"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Giúp loại bỏ lớp trang điểm, Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...","Trước khi make-up, Sau khi về nhà","Các sàn thương mại điện tử, Các cửa hàng mỹ phẩm, Siêu thị; trung tâm thương mại","Truyền thông; quảng cáo, Gia đình; người thân","Đào, Cam","Nha đam, Rau má, Cà chua","Lavender, Hoa hồng, Trà xanh","Nhật Bản, Pháp",Sàn thương mại điện tử,"Siêu thị, Các cửa hàng mỹ phẩm","Tác dụng phụ; gây kích ứng; bong tróc da, Không có hiệu quả hoặc hiệu quả kém"
"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Giúp loại bỏ lớp trang điểm",Trước khi đi ngủ,"Các sàn thương mại điện tử, Các cửa hàng mỹ phẩm","Truyền thông; quảng cáo, Gia đình; người thân, Bạn bè",,,,"Hàn Quốc, Việt Nam",Sàn thương mại điện tử,"Cửa hàng chính hãng, Các cửa hàng mỹ phẩm","Hàng giả; hàng nhái, Tác dụng phụ; gây kích ứng; bong tróc da"
"Cấp ẩm; cân bằng độ pH, Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...","Trước khi make-up, Sau khi về nhà","Hàng xách tay, Các cửa hàng mỹ phẩm, Siêu thị; trung tâm thương mại","Truyền thông; quảng cáo, Gia đình; người thân, Bạn bè",,,,"Mỹ, Nhật Bản, Hàn Quốc",Sàn thương mại điện tử,"Siêu thị, Các cửa hàng mỹ phẩm","Sản phẩm không có nguồn gốc rõ ràng, Tác dụng phụ; gây kích ứng; bong tróc da"
"Cấp ẩm; cân bằng độ pH, Hỗ trợ da hấp thu dưỡng chất cho những bước dưỡng sau, Loại bỏ bụi bẩn; dầu thừa; tế bào chết;...","Sau khi thức dậy, Sau khi về nhà","Các sàn thương mại điện tử, Hàng xách tay, Website của hãng","Truyền thông; quảng cáo, Nhân viên tiếp thị, Tư vấn từ bác sĩ","Dâu, Đào","Nha đam, Rau má","Lavender, Hoa hồng, Anh đào","Nhật Bản, Hàn Quốc","Website của hãng, Sàn thương mại điện tử","Cửa hàng chính hãng, Siêu thị, Các cửa hàng mỹ phẩm",Hàng giả; hàng nhái
"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Giúp loại bỏ lớp trang điểm",Trước khi đi ngủ,"Các sàn thương mại điện tử, Siêu thị; trung tâm thương mại","Truyền thông; quảng cáo, Tự tìm hiểu",,,,"Hàn Quốc, Pháp",Sàn thương mại điện tử,"Cửa hàng chính hãng, Các cửa hàng mỹ phẩm","Hàng giả; hàng nhái, Tác dụng phụ; gây kích ứng; bong tróc da"
"Hỗ trợ làm trắng da, Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...","Sau khi thức dậy, Trước khi đi ngủ","Các sàn thương mại điện tử, Siêu thị; trung tâm thương mại, Tạp hóa","Truyền thông; quảng cáo, Tự tìm hiểu","Dâu, Đào, Chanh","Thảo mộc, Rau má","Lavender, Hoa hồng, Trà xanh","Mỹ, Việt Nam",Sàn thương mại điện tử,"Cửa hàng chính hãng, Siêu thị, Tạp hoá","Hàng giả; hàng nhái, Sản phẩm không có nguồn gốc rõ ràng"
"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Giúp loại bỏ lớp trang điểm","Sau khi thức dậy, Trước khi đi ngủ",Các sàn thương mại điện tử,"Truyền thông; quảng cáo, Tư vấn từ bác sĩ",,,,"Pháp, Anh",Sàn thương mại điện tử,Cửa hàng chính hãng,Tác dụng phụ; gây kích ứng; bong tróc da
"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...","Sau khi thức dậy, Sau khi về nhà","Các sàn thương mại điện tử, Website của hãng, Siêu thị; trung tâm thương mại","Truyền thông; quảng cáo, Tự tìm hiểu",,,,Nhật Bản,Sàn thương mại điện tử,"Siêu thị, Các cửa hàng mỹ phẩm","Hàng giả; hàng nhái, Tác dụng phụ; gây kích ứng; bong tróc da"
"Cấp ẩm; cân bằng độ pH, Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...",Trước khi đi ngủ,"Các sàn thương mại điện tử, Các cửa hàng mỹ phẩm","Truyền thông; quảng cáo, Tự tìm hiểu",,,,Nhật Bản,Sàn thương mại điện tử,"Siêu thị, Các cửa hàng mỹ phẩm","Hàng giả; hàng nhái, Tác dụng phụ; gây kích ứng; bong tróc da"
"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Giúp loại bỏ lớp trang điểm, Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...","Sau khi về nhà, Trước khi đi ngủ","Các sàn thương mại điện tử, Các cửa hàng mỹ phẩm","Truyền thông; quảng cáo, Tự tìm hiểu",,,,"Pháp, Đức, Anh",Sàn thương mại điện tử,Các cửa hàng mỹ phẩm,"Hàng giả; hàng nhái, Sản phẩm không có nguồn gốc rõ ràng"
"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Giúp loại bỏ lớp trang điểm, Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...","Sau khi thức dậy, Sau khi về nhà, Trước khi đi ngủ","Các sàn thương mại điện tử, Siêu thị; trung tâm thương mại","Truyền thông; quảng cáo, Bạn bè",Việt quất,Nha đam,Trà xanh,Hàn Quốc,Sàn thương mại điện tử,Các cửa hàng mỹ phẩm,Hàng giả; hàng nhái
Loại bỏ bụi bẩn; dầu thừa; tế bào chết;...,"Sau khi thức dậy, Trước khi đi ngủ","Các sàn thương mại điện tử, Website của hãng, Các cửa hàng mỹ phẩm","Truyền thông; quảng cáo, Tự tìm hiểu",,,,"Hàn Quốc, Pháp","Website của hãng, Sàn thương mại điện tử","Cửa hàng chính hãng, Siêu thị, Các cửa hàng mỹ phẩm, Cửa hàng tiện lợi","Hàng giả; hàng nhái, Sản phẩm không có nguồn gốc rõ ràng"
"Hỗ trợ da căng bóng, Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Giúp loại bỏ lớp trang điểm","Trước khi ra đường, Sau khi về nhà","Website của hãng, Siêu thị; trung tâm thương mại, Nhà thuốc","Nhân viên tiếp thị, Gia đình; người thân, Bạn bè",,,,"Hàn Quốc, Úc, Anh",Sàn thương mại điện tử,"Tạp hoá, Các cửa hàng mỹ phẩm","Sản phẩm không có nguồn gốc rõ ràng, Không có hiệu quả hoặc hiệu quả kém"
"Hỗ trợ da căng bóng, Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Giúp loại bỏ lớp trang điểm","Trước khi ra đường, Sau khi về nhà","Website của hãng, Tạp hóa","Nhân viên tiếp thị, Chuyên viên, Tự tìm hiểu",,,,"Nhật Bản, Trung Quốc, Pháp","Website của hãng, Sàn thương mại điện tử","Tạp hoá, Nhà thuốc",Tác dụng phụ; gây kích ứng; bong tróc da
"Hỗ trợ da hấp thu dưỡng chất cho những bước dưỡng sau, Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...",Sau khi về nhà,"Cửa hàng của hãng, Các cửa hàng mỹ phẩm, Siêu thị; trung tâm thương mại","Truyền thông; quảng cáo, Chuyên viên, Tự tìm hiểu",,,,"Nhật Bản, Hàn Quốc, Việt Nam",Website của hãng,"Cửa hàng chính hãng, Các cửa hàng mỹ phẩm","Hàng giả; hàng nhái, Tác dụng phụ; gây kích ứng; bong tróc da"
"Cấp ẩm; cân bằng độ pH, Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...","Sau khi thức dậy, Sau khi về nhà, Trước khi đi ngủ","Các sàn thương mại điện tử, Siêu thị; trung tâm thương mại, Nhà thuốc","Truyền thông; quảng cáo, Tư vấn từ bác sĩ, Tự tìm hiểu",,,,"Canada, Pháp, Khác",Sàn thương mại điện tử,"Cửa hàng chính hãng, Nhà thuốc","Hàng giả; hàng nhái, Tác dụng phụ; gây kích ứng; bong tróc da"
Loại bỏ bụi bẩn; dầu thừa; tế bào chết;...,"Sau khi thức dậy, Trước khi đi ngủ","Các cửa hàng mỹ phẩm, Siêu thị; trung tâm thương mại, Nhà thuốc","Truyền thông; quảng cáo, Tư vấn từ bác sĩ, Tự tìm hiểu",Cam,Rau má,"Lavender, Hoa hồng, Trà xanh",Pháp,Sàn thương mại điện tử,"Cửa hàng chính hãng, Siêu thị, Nhà thuốc, Các cửa hàng mỹ phẩm",Sản phẩm không có nguồn gốc rõ ràng
"Hỗ trợ da căng bóng, Cấp ẩm; cân bằng độ pH","Sau khi thức dậy, Sau khi về nhà, Trước khi đi ngủ",Các cửa hàng mỹ phẩm,"Truyền thông; quảng cáo, Tự tìm hiểu, Bạn bè","Táo, Việt quất, Đào","Dưa leo, Nha đam","Hoa hồng, Trà xanh, Hoa cúc","Nhật Bản, Hàn Quốc, Pháp",Sàn thương mại điện tử,Các cửa hàng mỹ phẩm,"Hàng giả; hàng nhái, Tác dụng phụ; gây kích ứng; bong tróc da"
"Cấp ẩm; cân bằng độ pH, Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...","Sau khi thức dậy, Trước khi đi ngủ","Các sàn thương mại điện tử, Siêu thị; trung tâm thương mại","Truyền thông; quảng cáo, Chuyên viên, Gia đình; người thân",,,,"Mỹ, Úc, Khác",Sàn thương mại điện tử,"Siêu thị, Các cửa hàng mỹ phẩm","Hàng giả; hàng nhái, Sản phẩm không có nguồn gốc rõ ràng"
"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Giúp loại bỏ lớp trang điểm, Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...",Trước khi đi ngủ,"Website của hãng, Các cửa hàng mỹ phẩm, Siêu thị; trung tâm thương mại","Gia đình; người thân, Tự tìm hiểu, Bạn bè",Táo,"Dưa leo, Nha đam, Cà chua","Hoa hồng, Trà xanh, Hoa cúc","Mỹ, Nhật Bản, Hàn Quốc","Website của hãng, Sàn thương mại điện tử","Cửa hàng chính hãng, Các cửa hàng mỹ phẩm","Hàng giả; hàng nhái, Tác dụng phụ; gây kích ứng; bong tróc da"
"Cấp ẩm; cân bằng độ pH, Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...","Sau khi về nhà, Trước khi đi ngủ","Các cửa hàng mỹ phẩm, Siêu thị; trung tâm thương mại",Gia đình; người thân,Khác,"Nha đam, Khác",Khác,Hàn Quốc,Các trang mạng xã hội,"Siêu thị, Các cửa hàng mỹ phẩm","Hàng giả; hàng nhái, Tác dụng phụ; gây kích ứng; bong tróc da"
Loại bỏ bụi bẩn; dầu thừa; tế bào chết;...,Trước khi make-up,Siêu thị; trung tâm thương mại,Truyền thông; quảng cáo,Việt quất,Nha đam,Trà xanh,Hàn Quốc,Sàn thương mại điện tử,Cửa hàng chính hãng,"Hàng giả; hàng nhái, Tác dụng phụ; gây kích ứng; bong tróc da"
"Cấp ẩm; cân bằng độ pH, Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...","Sau khi thức dậy, Sau khi về nhà, Trước khi đi ngủ","Website của hãng, Siêu thị; trung tâm thương mại, Nhà thuốc","Truyền thông; quảng cáo, Tự tìm hiểu, Bạn bè",,,,"Mỹ, Nhật Bản, Hàn Quốc","Website của hãng, Sàn thương mại điện tử","Cửa hàng chính hãng, Siêu thị, Nhà thuốc",Hàng giả; hàng nhái
"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...",Trước khi đi ngủ,"Các sàn thương mại điện tử, Các cửa hàng mỹ phẩm, Siêu thị; trung tâm thương mại","Truyền thông; quảng cáo, Tự tìm hiểu, Bạn bè","Dâu, Đào",Nha đam,"Trà xanh, Hoa cúc","Nhật Bản, Hàn Quốc",Các trang mạng xã hội,"Siêu thị, Các cửa hàng mỹ phẩm","Tác dụng phụ; gây kích ứng; bong tróc da, Không có hiệu quả hoặc hiệu quả kém"
"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Giúp loại bỏ lớp trang điểm, Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...","Sau khi thức dậy, Trước khi đi ngủ","Các sàn thương mại điện tử, Cửa hàng của hãng, Các cửa hàng mỹ phẩm","Truyền thông; quảng cáo, Tư vấn từ bác sĩ, Bạn bè","Táo, Khác","Dưa leo, Nha đam","Lavender, Hoa hồng, Trà xanh","Nhật Bản, Hàn Quốc",Sàn thương mại điện tử,"Cửa hàng chính hãng, Siêu thị, Các cửa hàng mỹ phẩm","Hàng giả; hàng nhái, Tác dụng phụ; gây kích ứng; bong tróc da"
"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...","Sau khi thức dậy, Sau khi về nhà, Trước khi đi ngủ","Các sàn thương mại điện tử, Website của hãng, Các cửa hàng mỹ phẩm","Truyền thông; quảng cáo, Tự tìm hiểu",Việt quất,Rau má,"Hoa hồng, Trà xanh","Mỹ, Nhật Bản",Sàn thương mại điện tử,Các cửa hàng mỹ phẩm,"Hàng giả; hàng nhái, Sản phẩm không có nguồn gốc rõ ràng"
Loại bỏ bụi bẩn; dầu thừa; tế bào chết;...,"Sau khi thức dậy, Sau khi về nhà","Các sàn thương mại điện tử, Các cửa hàng mỹ phẩm","Truyền thông; quảng cáo, Tự tìm hiểu, Bạn bè","Dâu, Cherry, Đào","Thảo mộc, Nha đam, Cà chua","Hoa hồng, Anh đào, Hoa sứ","Nhật Bản, Hàn Quốc","Website của hãng, Sàn thương mại điện tử, Các trang mạng xã hội","Cửa hàng chính hãng, Các cửa hàng mỹ phẩm","Hàng giả; hàng nhái, Sản phẩm không có nguồn gốc rõ ràng"
"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...","Sau khi thức dậy, Trước khi đi ngủ","Các sàn thương mại điện tử, Website của hãng","Truyền thông; quảng cáo, Tự tìm hiểu","Mâm xôi, Đào","Nha đam, Cà chua","Anh đào, Trà xanh","Mỹ, Nhật Bản, Hàn Quốc","Website của hãng, Sàn thương mại điện tử","Cửa hàng chính hãng, Các cửa hàng mỹ phẩm","Hàng giả; hàng nhái, Tác dụng phụ; gây kích ứng; bong tróc da"
"Hỗ trợ da hấp thu dưỡng chất cho những bước dưỡng sau, Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...","Sau khi thức dậy, Trước khi make-up, Trước khi đi ngủ","Cửa hàng của hãng, Các cửa hàng mỹ phẩm, Siêu thị; trung tâm thương mại","Gia đình; người thân, Bạn bè",,,,"Mỹ, Nhật Bản",Website của hãng,"Siêu thị, Các cửa hàng mỹ phẩm",Hàng giả; hàng nhái
"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...","Sau khi thức dậy, Sau khi về nhà","Website của hãng, Siêu thị; trung tâm thương mại","Gia đình; người thân, Bạn bè","Đào, Cam","Nha đam, Rau má",Lavender,Nhật Bản,Các trang mạng xã hội,"Cửa hàng chính hãng, Siêu thị, Tạp hoá","Hàng giả; hàng nhái, Không có hiệu quả hoặc hiệu quả kém"
"Cấp ẩm; cân bằng độ pH, Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...","Sau khi thức dậy, Trước khi đi ngủ",Các sàn thương mại điện tử,"Truyền thông; quảng cáo, Gia đình; người thân, Bạn bè",,,,Hàn Quốc,Sàn thương mại điện tử,"Cửa hàng chính hãng, Các cửa hàng mỹ phẩm","Hàng giả; hàng nhái, Tác dụng phụ; gây kích ứng; bong tróc da"
Loại bỏ bụi bẩn; dầu thừa; tế bào chết;...,"Sau khi thức dậy, Trước khi đi ngủ",Các cửa hàng mỹ phẩm,Tự tìm hiểu,Dâu,Rau má,Lavender,Hàn Quốc,Sàn thương mại điện tử,"Cửa hàng chính hãng, Các cửa hàng mỹ phẩm",Hàng giả; hàng nhái
"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Giúp loại bỏ lớp trang điểm, Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...","Sau khi thức dậy, Sau khi về nhà, Trước khi đi ngủ","Cửa hàng của hãng, Các cửa hàng mỹ phẩm, Siêu thị; trung tâm thương mại","Truyền thông; quảng cáo, Tự tìm hiểu, Bạn bè","Dâu, Cherry, Chanh","Thảo mộc, Nha đam, Cà chua","Lavender, Hoa hồng, Trà xanh","Hàn Quốc, Úc, Pháp","Sàn thương mại điện tử, Các trang mạng xã hội","Cửa hàng chính hãng, Siêu thị, Các cửa hàng mỹ phẩm","Hàng giả; hàng nhái, Sản phẩm không có nguồn gốc rõ ràng"
Loại bỏ bụi bẩn; dầu thừa; tế bào chết;...,Trước khi đi ngủ,Các cửa hàng mỹ phẩm,Đồng nghiệp,,,,Hàn Quốc,Website của hãng,Các cửa hàng mỹ phẩm,Sản phẩm không có nguồn gốc rõ ràng
Loại bỏ bụi bẩn; dầu thừa; tế bào chết;...,"Sau khi thức dậy, Trước khi đi ngủ","Các cửa hàng mỹ phẩm, Siêu thị; trung tâm thương mại","Gia đình; người thân, Tự tìm hiểu, Đồng nghiệp",,,,Nhật Bản,Các trang mạng xã hội,Các cửa hàng mỹ phẩm,"Hàng giả; hàng nhái, Sản phẩm không có nguồn gốc rõ ràng"
Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...,Sau khi về nhà,Siêu thị; trung tâm thương mại,Truyền thông; quảng cáo,Chanh,Dưa leo,Hoa hồng,Việt Nam,Sàn thương mại điện tử,Cửa hàng tiện lợi,Sản phẩm không có nguồn gốc rõ ràng
"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Giúp loại bỏ lớp trang điểm, Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...","Sau khi thức dậy, Trước khi đi ngủ","Các sàn thương mại điện tử, Các cửa hàng mỹ phẩm, Siêu thị; trung tâm thương mại","Truyền thông; quảng cáo, Tư vấn từ bác sĩ, Tự tìm hiểu",,,,"Mỹ, Hàn Quốc, Pháp",Sàn thương mại điện tử,"Siêu thị, Các cửa hàng mỹ phẩm","Hàng giả; hàng nhái, Tác dụng phụ; gây kích ứng; bong tróc da"
"Cấp ẩm; cân bằng độ pH, Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Giúp loại bỏ lớp trang điểm","Sau khi thức dậy, Trước khi đi ngủ","Các sàn thương mại điện tử, Cửa hàng của hãng, Các cửa hàng mỹ phẩm","Truyền thông; quảng cáo, Tự tìm hiểu, Bạn bè","Táo, Cam",Thảo mộc,Hoa hồng,"Nhật Bản, Hàn Quốc","Website của hãng, Sàn thương mại điện tử","Cửa hàng chính hãng, Siêu thị","Hàng giả; hàng nhái, Sản phẩm không có nguồn gốc rõ ràng"
"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Giúp loại bỏ lớp trang điểm, Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...","Sau khi thức dậy, Trước khi đi ngủ","Website của hãng, Cửa hàng của hãng, Các cửa hàng mỹ phẩm","Truyền thông; quảng cáo, Tự tìm hiểu, Bạn bè",,,,"Hàn Quốc, Pháp","Website của hãng, Sàn thương mại điện tử","Cửa hàng chính hãng, Nhà thuốc, Các cửa hàng mỹ phẩm","Hàng giả; hàng nhái, Sản phẩm không có nguồn gốc rõ ràng"
"Hỗ trợ làm trắng da, Hỗ trợ da hấp thu dưỡng chất cho những bước dưỡng sau, Giúp loại bỏ lớp trang điểm","Sau khi thức dậy, Trước khi đi ngủ","Các sàn thương mại điện tử, Cửa hàng của hãng, Các cửa hàng mỹ phẩm","Chuyên viên, Tự tìm hiểu, Đồng nghiệp",,,,"Canada, Hàn Quốc, Trung Quốc","Website của hãng, Các trang mạng xã hội","Nhà thuốc, Các cửa hàng mỹ phẩm","Tác dụng phụ; gây kích ứng; bong tróc da, Không có hiệu quả hoặc hiệu quả kém"
"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Giúp loại bỏ lớp trang điểm, Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...","Sau khi thức dậy, Trước khi đi ngủ",Các cửa hàng mỹ phẩm,Tự tìm hiểu,Dâu,"Nha đam, Cà chua",Hoa hồng,Việt Nam,Sàn thương mại điện tử,Các cửa hàng mỹ phẩm,"Hàng giả; hàng nhái, Sản phẩm không có nguồn gốc rõ ràng"
"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Giúp loại bỏ lớp trang điểm, Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...","Sau khi thức dậy, Sau khi về nhà",Các cửa hàng mỹ phẩm,"Tư vấn từ bác sĩ, Gia đình; người thân, Bạn bè","Dâu, Táo, Cam","Dưa leo, Nha đam, Cà chua","Hoa hồng, Trà xanh",Hàn Quốc,Website của hãng,"Cửa hàng chính hãng, Các cửa hàng mỹ phẩm",Hàng giả; hàng nhái
"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...",Trước khi đi ngủ,"Các cửa hàng mỹ phẩm, Tạp hóa, Cửa hàng tiện lợi","Truyền thông; quảng cáo, Tư vấn từ bác sĩ","Dâu, Đào","Dưa leo, Nha đam","Lavender, Hoa hồng, Trà xanh",Việt Nam,Sàn thương mại điện tử,Siêu thị,"Hàng giả; hàng nhái, Tác dụng phụ; gây kích ứng; bong tróc da"
Loại bỏ bụi bẩn; dầu thừa; tế bào chết;...,"Sau khi thức dậy, Trước khi đi ngủ","Các sàn thương mại điện tử, Website của hãng, Cửa hàng của hãng","Truyền thông; quảng cáo, Tự tìm hiểu, Bạn bè",,,,"Canada, Úc, Anh","Website của hãng, Sàn thương mại điện tử, Các trang mạng xã hội","Cửa hàng chính hãng, Siêu thị, Các cửa hàng mỹ phẩm","Sản phẩm không có nguồn gốc rõ ràng, Tác dụng phụ; gây kích ứng; bong tróc da"
"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Giúp loại bỏ lớp trang điểm, Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...","Sau khi thức dậy, Trước khi đi ngủ","Các sàn thương mại điện tử, Các cửa hàng mỹ phẩm, Siêu thị; trung tâm thương mại","Truyền thông; quảng cáo, Tư vấn từ bác sĩ, Tự tìm hiểu",Cam,"Thảo mộc, Nha đam","Trà xanh, Hoa cúc","Mỹ, Hàn Quốc, Pháp","Website của hãng, Sàn thương mại điện tử, Các trang mạng xã hội","Cửa hàng chính hãng, Các cửa hàng mỹ phẩm","Hàng giả; hàng nhái, Tác dụng phụ; gây kích ứng; bong tróc da"
